title;composition;calorie;protein;fat;carbohydrate;categoty;barcode
Десерт Zott Monte Choco Flakes шоколад-фундук-кукурузные хлопья 13.9%, 125г;Десерт (молоко цельное, сливки, сахар загустители Е1422, Е407, Е410, какао-порошок обезжиренный, фундук обжаренный тертый, шоколадный порошок (сахар, какао-порошок, регулятор кислотности цитраты кальция, ароматизаторы), шоколадные кукурузные хлопья (сахар, крупа кукурузная, какао-масло, молоко сухое цельное, какао-масса, сыворотка подсырная сухая, лактоза, экстракт ячменного солода, соль, эмульгаторы, подсолнечный и соевый лецитин, загуститель Е414, ароматизаторы).;218;3.1;13.9;19.6;Молоко, сыр, яйца;Неизвестно
Пудинг молочный Grand Twist с шоколадом ультрапастеризованный 5.4%, 138г;Состав пудинга: обезжиренное молоко, глюкозно-фруктозный сироп, вода, сахар, сливки, загустители (Е1422, Е1442, каррагинан), какао-порошок, сухая молочная сыворотка, ароматизатор, регулятор кислотности – фосфаты натрия. Состав смеси: печенье Брауни (мука пшеничная, сахар, какао-порошок, маргарин (растительные масла, вода, эмульгаторы (Е475, Е471), соль, консервант – сорбат калия, регулятор кислотности – лимонная кислота, ароматизатор, краситель – каротины, антиокислители (аскорбиновая кислота, альфа-токоферол)), шоколадная глазурь (сахар, какао тертое, какао масло, какао-порошок, эмульгатор – соевый лецитин), яичный порошок, вода, комплексная пищевая добавка (вода, эмульгаторы (сорбитовый сироп, Е475), агент влагоудерживающий – пропиленгликоль), соль, ароматизатор), темный шоколад (какао тертое, сахар, какао масло, какао-порошок, эмульгатор – соевый лецитин, ароматизатор), кукурузные шарики в глазури (глазурь (сахар, заменитель масла какао нетемперированный лауринового типа (пальмоядровый стеарин, эмульгаторы (Е492, Е322), какао-порошок, загуститель – гуммиарабик, ароматизатор, консервант – сорбиновая кислота), кукурузные шарики (крупа кукурузная, сахар, соль)).;120;2.8;3.5;20.4;Молоко, сыр, яйца;Неизвестно
Пудинг молочный Grand Twist белый шоколад ультрапастеризованный 5.4%, 138г;Состав пудинга: обезжиренное молоко, сахар, сливки, глюкозно-фруктозный сироп, вода, загустители (Е1422, каррагинан), лактоза, сухая молочная сыворотка, какао масло, сухое цельное молоко, ароматизаторы, регуляторы кислотности (фосфаты натрия, карбонаты натрия), соль, антиокислитель – аскорбиновая кислота. Состав смеси: кукурузные шарики (глазурь (сахар, заменитель масла какао нетемперированный лауринового типа (пальмоядровый стеарин, эмульгаторы (Е492, Е322, соевый лецитин)), сухая молочная сыворотка, ароматизатор), кукурузные шарики (крупа кукурузная, сахар, соль), комплексная пищевая добавка (загуститель – гуммиарабик, глюкозный сироп, сахар, растительное масло, вода, консервант – сорбиновая кислота), краситель – кармины, ароматизатор), клубничное печенье (мука пшеничная, сахар, концентрированный клубничный сок, маргарин (растительные масла, вода, эмульгаторы (Е475, Е471), соль, консервант – сорбат калия, регулятор кислотности – лимонная кислота, ароматизатор, краситель – каротины, антиокислители (аскорбиновая кислота, альфа-токоферол)), яичный порошок, вода, комплексная пищевая добавка (вода, эмульгаторы (сорбитовый сироп, Е475), агент влагоудерживающий – пропиленгликоль), соль, регулятор кислотности - лимонная кислота, краситель – кармины, ароматизатор), хлопья кукурузные (молочный шоколад (сахар, какао масло, сухое цельное молоко, какао тертое, лактоза, эмульгатор – соевый лецитин, сухая молочная сыворотка), кукурузные хлопья (кукуруза, сахар, соль, ячменный солод, эмульгатор – подсолнечный лецитин), глазурь (вода, глюкозный сироп, загустители (гуммиарабик, Е1400), кокосовое масло, регулятор кислотности – лимонная кислота, натуральный ароматизатор)), клубника сушеная.;160;3;5.4;25.1;Молоко, сыр, яйца;Неизвестно
Пудинг Даниссимо Deluxe ваниль-карамель 4.2%, 160г;Молоко нормализованное, наполнитель (вода, сахар, апельсин, шоколадная крошка (какао масса, какао-масло, сахар), стабилизаторы – E1422, пектины, гуаровая камедь, красители – каротины, кармины, ароматизаторы, регуляторы кислотности – лимонная кислота, цитраты натрия), сахар, ароматизатор натуральный, закваска молочнокислых культур.;137;2.1;4.2;22.7;Молоко, сыр, яйца;Неизвестно
Пудинг Даниссимо Deluxe ваниль-каталонский крем-брюле 4.7%, 160г;Молоко нормализованное, наполнитель (вода, молоко цельное сгущенное с сахаром, глюкозно-фруктозный сироп, стабилизатор – Е1442, сахар, регуляторы кислотности – Е575, лимонная кислота, карамелизованный сахарный сироп, сливочное масло, стабилизаторы – пектины, гуаровая камедь, эмульгатор – Е471, ароматизатор), сахар, комплексная пищевая добавка (ароматизатор, красители – сахарный колер I простой, куркумин, кармины), закваска молочнокислых культур.;123;2.4;4.7;17.8;Молоко, сыр, яйца;Неизвестно
Пудинг Даниссимо Deluxe апельсин-шоколадная крошка 4.6%, 160г;Молоко нормализованное, наполнитель (сахар, груша, вода, стабилизаторы – Е1422, пектины, гуаровая камедь, ароматизаторы, регуляторы кислотности – лимонная кислота, цитраты натрия, цитраты кальция, концентрат из саффлора и лимона, натуральный ароматизатор), сахар, ароматизатор натуральный, закваска молочнокислых культур.;124;2.3;4.6;18.3;Молоко, сыр, яйца;Неизвестно
Пудинг фруктовый Melada кокос-клубника, 2x110г;Вода, сахар, кусочки мякоти кокоса, стабилизатор-каррагинан (Е407), регулятор кислотности – лимонная кислота (Е330), эмульгатор – цитрат натрия (Е331), растительные сливки (растительные жиры), на основе кокосового молока, искусственные ароматизаторы (кокос, клубника), пищевые красители тарттразин (Е102), «красный очаровательный» (Е129), «синий блестящий» (Е133), эмульгатор лецитин (Е322).;353.5;0.3;0;20.8;Молоко, сыр, яйца;Неизвестно
Пудинг фруктовый Melada киви-мангостин, 2x110г;Вода, сахар, кусочки мякоти кокоса, стабилизатор-каррагинан (Е407), регулятор кислотности – лимонная кислота (Е330), эмульгатор – цитрат натрия (Е331), растительные сливки (растительные жиры), на основе кокосового молока, искусственные ароматизаторы (киви, мангостин), пищевые красители тарттразин (Е102), «красный очаровательный» (Е129), «синий блестящий» (Е133), эмульгатор лецитин (Е322).;84.5;0.3;0;20.8;Молоко, сыр, яйца;Неизвестно
Пудинг молочный Эрмигурт фисташковое пралине 3.4%, 140г;Обезжиренное молоко, наполнитель со вкусом Фисташковое пралине (вода, сахар, сгущенное с сахаром цельное молоко, загуститель - Е1422, регуляторы кислотности: лимонная кислота, цитраты натрия, ароматизаторы, краситель - медные комплексы хлорофиллов и хлорофиллинов), сливки, сахар, стабилизаторы: Е1442, Е1422, каррагинан, полифосфат натрия, сухая молочная сыворотка, вода, регулятор кислотности - фосфаты натрия.;110;2.6;3.4;17.1;Молоко, сыр, яйца;Неизвестно
Пудинг молочный Эрмигурт Ehrmann сливочная карамель 3.3%, 140г;Обезжиренное молоко, наполнитель со вкусом Сливочная карамель  (вода, сахар, сгущенное с сахаром цельное молоко, загуститель - Е1422, ароматизаторы, красители: сахарный колер, каротины, регуляторы кислотности: лимонная кислота, цитраты натрия), сливки, сахар, стабилизаторы: Е1442, Е1422, каррагинан, полифосфат натрия, сухая молочная сыворотка, вода, регулятор кислотности - фосфаты натрия.;110;2.6;3.3;17.2;Молоко, сыр, яйца;Неизвестно
Пудинг молочный Эрмигурт Ehrmann молочный шоколад 3.4%, 140г;Обезжиренное молоко, наполнитель со вкусом молочный шоколад (вода, сахар, какао-порошок, сгущенное с сахаром цельное молоко, загуститель - Е1422, краситель - сахарный колер, ароматизаторы, регуляторы кислотности: лимонная кислота, цитраты натрия), сливки, сахар, стабилизаторы: Е1442, Е1422, каррагинан, полифосфат натрия, сухая молочная сыворотка, вода, регулятор кислотности - фосфаты натрия.;110;2.7;3.4;17.2;Молоко, сыр, яйца;Неизвестно
Пудинг молочный Эрмигурт Ehrmann кокосовый крем 3.3%, 140г;Обезжиренное молоко, наполнитель со вкусом Кокосовый крем (вода, сахар, сгущенное с сахаром цельное молоко, загуститель - Е1422, ароматизаторы, регуляторы кислотности: лимонная кислота, цитраты натрия), сливки, сахар, стабилизаторы: Е1442, Е1422, каррагинан, полифосфат натрия, сухая молочная сыворотка, вода, регулятор кислотности - фосфаты натрия.;110;2.6;3.3;17.2;Молоко, сыр, яйца;Неизвестно
Пудинг фруктовый Melada ананас-дыня, 2x110г;Вода, сахар, кусочки мякоти кокоса, стабилизатор – каррагинан (E 407), регулятор кислотности – лимонная кислота (E330), эмульгатор – цитрат натрия (E331), растительные сливки (растительные жиры) на основе кокосового молока, искусственные ароматизаторы (ананас, дыня), пищевые красители: тартразин (E102), синий «блестящий» (E133), эмульгатор лецитин (E322).;84.5;0.3;0;20.8;Молоко, сыр, яйца;Неизвестно
Пудинг фруктовый Melada личи-манго, 2x110г;Вода, сахар, кусочки мякоти кокоса, стабилизатор – каррагинан(E407), регулятор кислотности - лимонная кислота (E330), эмульгатор - цитрат натрия(E331), растительные сливки (растительные жиры) на основе кокосового молока, искусственные ароматизаторы (личи, манго), пищевые красители: тартразин(E102), желтый закат (E110), эмульгатор лецитин (E322).;84.5;0.3;0;20.8;Молоко, сыр, яйца;Неизвестно
Пудинг фруктовый Melada манго-папайя, 2x110г;Вода, сахар, кусочки мякоти кокоса, стабилизатор – каррагинан (E407), регулятор кислотности - лимонная кислота (E330), эмульгатор - цитрат натрия (E 331), растительные сливки (растительные жиры) на основе кокосового молока, искусственные ароматизаторы (папайя, манго), пищевые красители: тартразин (E102), желтый закат(E110), «красный очаровательный» (E-129), эмульгатор лецитин (E322).;84.5;0.3;0;20.8;Молоко, сыр, яйца;Неизвестно
Желе РАЭ фруктовое с вишней, 150г;Вода питьевая, вишня без косточки, сахар-песок, желирующий агент-каррагинан, регулятор кислотности - лимонная кислота, консервант - сорбат калия, ароматизатор натуральный - вишня, краситель кармин.;140;0;0;35;Молоко, сыр, яйца;Неизвестно
Желе New Choice Тропик ассорти, 300г;Вода, сахар, кокосовое желе (Ната де коко) (кокосовая вода, бактерии Acetobacter xylinum, регулятор кислотности лимонная кислота), загустители (Е407, E425, E415), стабилизатор 340(i), агент желирующий (хлорид калия), регулятор кислотности (лактат кальция, 331(iii), яблочная кислота, лимонная кислота, пеногаситель полидиметилсилоксан, красители (E129, Е133, Е110, E171), ароматизаторы (кокоса, арбуза, клубники, манго, канталупы (дыни), личи).;84;0;0;22;Молоко, сыр, яйца;Неизвестно
Десерт фруктовый Tutto Фруктовый коктейль, 250г;Вода, белый персик, желтый персик, мандарин, ананас, сахар, загуститель: агар, персиковый сироп, ароматизатор (персик), ароматизатор (грейпфрут), регулятор кислотности: лимонная кислота.;62;0;0;14;Молоко, сыр, яйца;Неизвестно
Десерт Tutto виноград, 250г;Вода, виноград, кокосовое желе (кокосовая вода, сахар, регулятор кислотности лимонная кислота), сахар, загуститель агар, регулятор кислотности лимонная кислота, виноградный сироп, ароматизатор Виноград, ароматизатор Лимон.;59;0;0;14;Молоко, сыр, яйца;Неизвестно
Желе Countree фруктовое с персиком, 125г;Вода, персик, сахар, желейный порошок (агент желирующий E407, загуститель Е 425), ароматизатор, загуститель камедь рожкового дерева, регулятор кислотности лимонная кислота, антиокислитель аскорбиновая кислота, регулятор кислотности цитрат натрия, красители E120, Е102.;65;0;0;15.5;Молоко, сыр, яйца;Неизвестно
Желе Countree фруктовое с мандарином, 125г;Вода, мандарин, сахар, желейный порошок (агент желирующий E407, загуститель Е 425), регулятор кислотности лимонная кислота, ароматизатор, загуститель камедь рожкового дерева, антиокислитель аскорбиновая кислота, красители E120.;65.9;0;0;16.3;Молоко, сыр, яйца;Неизвестно
Желе Ле-Ле фрукты-вишня, 125г;Вода, вишня, сахар-песок, желатин, регулятор кислотности- лимонная кислота ( Е330), консервант- сорбат калия (Е202), ароматизатор пищевой –Вишня, краситель натуральный – Красный свекольный (Е162).;71;0;0;18;Молоко, сыр, яйца;Неизвестно
Желе Ле-Ле малина, 125г;Вода, сахар-песок, желатин, регулятор кислотности - лимонная кислота, ароматизатор пищевой - Малина, консервант – сорбат калия, краситель пищевой Кармуазин.;68;0;0;17;Молоко, сыр, яйца;Неизвестно
Желе Ле-Ле персик, 125г;Вода, сахар-песок, желатин, регулятор кислотности- лимонная кислота, ароматизатор пищевой –Персик, консервант – сорбат калия, краситель пищевой – Солнечный закат.;68;0;0;17;Молоко, сыр, яйца;Неизвестно
Десерт Diwari Dжелео многослойный с соком вишня-персик-яблоко, 150г;-;97;1.6;0;22.6;Молоко, сыр, яйца;Неизвестно
Желе фруктовое Мирата вишня, 150г;Вода, сахар белый, желатин пищевой говяжий, лимонная кислота, консервант - сорбат калия, ароматизатор Вишня, красители Е141, куркумин.;30;0;0;7;Молоко, сыр, яйца;Неизвестно
Желе фруктовое Мирата яблоко, 150г;Вода, сахар белый, желатин пищевой говяжий, регулятор кислотности - лимонная кислота, консерват сорбат калия, ароматизатор Яблоко, красители Е141, куркумин.;30;0;0;7;Молоко, сыр, яйца;Неизвестно
Желе и шарики жевательные Эплик с клубничным соком, 150г;Вода, сахар-песок, сок яблочный восстановленный, сок клубничный восстановленный, желатин, загуститель альгинат натрия, регуляторы кислотности: лимонная кислота, лактат кальция, ароматизатор пищевой натуральный клубника, консервант сорбат калия, красители натуральные: кармин, бета-каротин, Е141, голубой матча, краситель Е171.;75;1;18;0;Молоко, сыр, яйца;Неизвестно
Желе Аппетиссимо с фруктами, 150г;-;56;0;0;14;Молоко, сыр, яйца;Неизвестно
Фрукты в желе Аппетиссимо мандарин, 150г;-;58;0.1;0;14.5;Молоко, сыр, яйца;Неизвестно
Желе Ле-Ле фрукты-персик, 125г;Вода, персики, сахар-песок, желатин, регулятор кислотности- лимонная кислота ( Е330), консервант- сорбат калия (Е202), ароматизатор пищевой –Персик, краситель натуральный – Бета-каротин (Е160а).;66;0;0;17;Молоко, сыр, яйца;Неизвестно
Десерт Tutto японский мандарин, 250г;Мандарин, вода, сахар, загуститель: агар, ароматизатор (апельсин), ароматизатор (лимон), регулятор кислотности: лимонная кислота, регулятор кислотности: цитрат натрия, яблочный сироп.;61;0;0;14;Молоко, сыр, яйца;Неизвестно
Желе Аппетиссимо Персик В Желе плодово-ягодное, 150г;Вода питьевая, сироп глюкозно - фруктозный (глюкоза, фруктоза), сок концентрированный осветлённый яблочный, концентрированный персиковый сок, стабилизатор - каррагинан, регулятор. Может содержать следы молока и продуктов его переработки кислотности - лимонная кислота, консервант - сорбат калия, ароматизатор Персик, краситель Каротины.;58;0.1;14.5;0;Молоко, сыр, яйца;Неизвестно
Десерт Аппетиссимо лесное ассорти, 500г;-;108;0.5;0.2;26;Молоко, сыр, яйца;Неизвестно
Фрукты в желе Ростагроэкспорт Манго, 150г;Вода питьевая,манго, сахар,желирующий агент-каррагинан, регулятор кислотности-лимонная кислота, консервант-сорбат калия, ароматизатор натуральный-мангос, краситель-аннато.;140;0;0;35;Молоко, сыр, яйца;Неизвестно
Желе Ростагроэкспорт Апельсин ароматизированное, 125г;Вода питьевая, сахар-песок, желатин, регулятор кислотности - лимонная кислота, ароматизатор натуральный - апельсин, краситель - аннато, консервант - сорбиновая кислота.;80;0;0;20;Молоко, сыр, яйца;Неизвестно
Фрукты в желе Ростагроэкспорт Ананас, 150г;Вода питьевая,ананас, сахар,желирующий агент-каррагинан, регулятор кислотности-лимонная кислота, консервант-сорбат калия, ароматизатор натуральный-ананас, краситель-аннато.;140;0;0;35;Молоко, сыр, яйца;Неизвестно
Желе Ростагроэкспорт Клубника ароматизированное, 125г;Вода питьевая, сахар, желатин пищевой, регулятор кислотности - лимонная кислота, ароматизатор натуральный - клубника, краситель - аннато, консервант - сорбиновая кислота.;80;0;0;20;Молоко, сыр, яйца;Неизвестно
Желе Countree фруктовое с виноградом, 125г;Вода, виноград, сахар, желейный порошок (агент желирующий E407, загуститель Е 425), ароматизатор, регулятор кислотности лимонная кислота, загуститель камедь рожкового дерева, антиокислитель аскорбиновая кислота.;54.9;0;0;13.6;Молоко, сыр, яйца;Неизвестно
Желе Countree фруктовое с тропическим фруктовым коктейлем, 125г;Вода, сахар, манго, ананас, папайя, желейный порошок (агент желирующий E407, загуститель Е 425), регулятор кислотности лимонная кислота, ароматизатор, загуститель камедь рожкового дерева, антиокислитель аскорбиновая кислота.;65.9;0;0;16.3;Молоко, сыр, яйца;Неизвестно
Желе и шарики жевательные Эплик с апельсиновым соком, 150г;Вода, сахар-песок, сок яблочный восстановленный, сок апельсиновый восстановленный, желатин, загуститель альгинат натрия, регуляторы кислотности: лимонная кислота, лактат кальция, ароматизатор пищевой натуральный апельсин, консервант сорбат калия, красители натуральные: кармин, бета-каротин, Е141, голубой матча, краситель Е171.;75;1;0;18;Молоко, сыр, яйца;Неизвестно
Желе Ягодный Край плодово-ягодное персик в желе пастеризованное, 150г;Вода питьевая, персики очищенные ломтики в сиропе консервированные (персики очищенные, вода, сахар, регулятор кислотности - лимонная кислота), сироп глюкозно-фруктозный (глюкоза, фруктоза), стабилизатор - каррагинан, регулятор кислотности – лимонная кислота, консервант - сорбат калия, ароматизатор «Персик», краситель «Каротины».;58;0.1;0;14.5;Молоко, сыр, яйца;Неизвестно
Желе Ягодный Край со вкусом яблока пастеризованное, 150г;Вода питьевая, сироп глюкозно-фруктозный (глюкоза, фруктоза), стабилизатор - каррагинан, регулятор кислотности – лимонная кислота, консервант - собрат калия, ароматизатор «Яблоко осветленное», красители: «Куркумин», «Хлорофиллы».;57;0;0;14.2;Молоко, сыр, яйца;Неизвестно
Желе Ягодный Край вишня, 150г;Вода питьевая, сироп глюкозно-фруктозный (глюкоза, фруктоза), стабилизатор - каррагинан, регулятор кислотности -  лимонная кислота, консервант -  сорбат калия, ароматизатор «Вишня Черная», краситель «Кармины».;57;0;0;14.2;Молоко, сыр, яйца;Неизвестно
Желе РАЭ фруктовое с абриком, 150г;Вода питьевая, абрикосы, сахар-песок, желирующий агент - каррагинан, регулятор кислотности - лимонная кислота, консервант - сорбат калия, ароматизатор натуральный - абрикос, краситель аннато.;140;0;0;35;Молоко, сыр, яйца;Неизвестно
Желе Аппетиссимо плодово-ягодное, 150г;Вода питьевая, масло кокосовое, изолят соевого белка, концентрат соевого белка, натуральное пищевое волокно, пищевые волокна пшеничные, загуститель метилцеллюлоза, крахмал картофельный, соль, регулятор кислотности карбонат натрия, стабилизатор кальция карбонат, усилитель вкуса и аромата глутаминовая кислота, краситель пищевой красный свекольный, краситель пищевой сахарный колер III, регулятор кислотности лимонная кислота, регулятор кислотности уксусная кислота, ароматизатор «Копченая говядина».;58;0.2;0.3;14.4;Молоко, сыр, яйца;Неизвестно
Желе Аппетиссимо Ананас плодово-ягодное, 150г;Вода питьевая, консервированные ананасы, сироп глюкозно-фруктозный (глюкоза, фруктоза) , стабилизатор - каррагинан, регулятор кислотности - лимонная кислота, консервант - сорбат калия, ароматизатор Ананас, краситель Куркумин.;58;0.1;2;14.4;Молоко, сыр, яйца;Неизвестно
Желе молочное Аппетиссимо со вкусом клубники 5%, 150г;Восстановленное обезжиренное молоко, сахар, масло сливочное, вода питьевая, комплексная пищевая добавка милин 205, консервант - сорбат калия, ароматизатор идентичный натуральному клубника, краситель пищевой кармин.;145;3.5;5;21.5;Молоко, сыр, яйца;Неизвестно
Желе плодово-ягодное Аппетиссимо вишня в желе, 150г;Вода питьевая, консервированные фрукты (ананас, красная папайя, желтая папайя, гуава), сироп глюкозно-фруктозный (глюкоза, фруктоза), сок концентрированный осветленный яблочный, кокосовое молоко (переработанная мякоть кокосового ореха 70%, вода 30%), стабилизатор – каррагинан, регулятор кислотности – лимонная кислота, консервант - сорбат калия, ароматизаторы: «Кокос», «Экзотик», «Ванильно-Сливочный», краситель: «Е171».;58;0.3;14.6;0;Молоко, сыр, яйца;Неизвестно
Десерт Джелео кокосовый с семенами чиа на йогуртной закваске пастеризованный, 130г;Кокосовое молоко (переработанная мякоть кокосового ореха 70%, вода 30%), вода питьевая, сироп глюкозно-фруктозный (глюкоза, фруктоза), чёрные семена чиа очищенные, крахмал картофельный, стабилизатор – пектины, желатин пищевой, консервант - сорбат калия, заквасочная культура для йогурта.;201;1.6;20;3.6;Молоко, сыр, яйца;Неизвестно
Десерт Джелео кокосовый персик-маракуйя на йогуртной закваске пастеризованный, 130г;Кокосовое молоко (переработанная мякоть кокосового ореха 70%, вода 30%), наполнитель «Персик-Маракуйя» (вода, плоды 30% ((персик 25%), восстановленный сок из маракуйи 5%), сахар 30%, модифицированный крахмал (из кукурузы), плодово-растительные концентраты – концентрат из моркови, загуститель (пектины, гуаровая камедь), натуральный ароматизатор, регуляторы кислотности (лимонная кислота, цитраты натрия, цитраты кальция)), вода питьевая, сироп глюкозно-фруктозный (глюкоза, фруктоза), крахмал картофельный, стабилизатор – пектины, желатин пищевой, консервант - сорбат калия, заквасочная культура для йогурта.;147;1.4;6.6;20.5;Молоко, сыр, яйца;Неизвестно
Десерт Джелео кокосовый апельсин-манго на йогуртной закваске пастеризованный, 130г;Кокосовое молоко (переработанная мякоть кокосового ореха 70%, вода 30%), наполнитель «Апельсин-Манго» (вода, сахар 30%, плоды 30% (апельсин 15%, манго 15%), модифицированный крахмал (из кукурузы), загуститель (пектины, гуаровая камедь), ароматизатор, регуляторы кислотности (цитраты натрия, цитраты кальция, лимонная кислота), краситель (каротины)), вода питьевая, сироп глюкозно-фруктозный (глюкоза, фруктоза), крахмал картофельный, стабилизатор – пектины, желатин пищевой, консервант - сорбат калия, заквасочная культура для йогурта.;148;1.4;6.5;21;Молоко, сыр, яйца;Неизвестно
Десерт сливочный Серовский ГМЗ Клубника ароматизированный 15%, 125г;-;215;3;15;17;Молоко, сыр, яйца;Неизвестно
Желе Джелео Шоко молочное 5%, 150г;Восстановленное цельное молоко, сироп глюкозно-фруктозный (глюкоза, фруктоза), сыворотка молочная сухая подсырная, желатин пищевой, крахмал картофельный, эмульгатор - моно- и диглицериды жирных кислот, какао-порошок, стабилизатор — каррагинан, красители: «Сахарный колер», «Куркумин», консервант - сорбат калия, ароматизаторы: «Ванильно-сливочный», «Карамель сливочная», «Шоколад».;124.6;5.3;5;18.5;Молоко, сыр, яйца;Неизвестно
Десерт многослойный Джелео Фрутти со вкусом манго дыни грейпфрута пастеризованный, 150г;-;95;0.8;0;23;Молоко, сыр, яйца;Неизвестно
Желе Natur Tropic со вкусом личи и кусочками кокоса, 2х130г;Кусочки мякоти кокоса, вода, сахар, сок личи, каррагинан (экстракты из водорослей), лимонная кислота, ароматизатор (личи), сорбиновая кислота, яблочная кислота, цитрат калия.;80;0;0;20;Молоко, сыр, яйца;Неизвестно
Желе Natur Tropic со вкусом манго и кусочками кокоса, 2х130г;Кусочки мякоти кокоса, вода, сахар, сок манго, каррагинан (экстракты из водорослей), лимонная кислота, ароматизатор (манго), сорбиновая кислота, яблочная кислота, цитрат калия, краситель Е102, Е110.;80;0;0;20;Молоко, сыр, яйца;Неизвестно
Желе Ягодный край клубника, 150г;Вода, ягоды (клубника), сахар, желатин, лимонная кислота, сорбат калия, ароматизатор Клубника.;50;0;0;12;Молоко, сыр, яйца;Неизвестно
Желе Ягодный край яблоко, 150г;Вода питьевая, сахар, стабилизатор - агар, регулятор кислотности - лимонная кислота, консервант - сорбат калия, ароматизатор Яблоко, красители: Куркумин,Хлорофиллы.;56;0;0;14;Молоко, сыр, яйца;Неизвестно
Желе Аппетиссимо сладкий виноград с виноградным соком, 150г;-;56;0;0;14;Молоко, сыр, яйца;Неизвестно
Десерт Аппетиссимо вишня, 500г;-;107.6;0.6;0.2;25.9;Молоко, сыр, яйца;Неизвестно
Десерт Княжеский Любимчик желе-вишня с косточкой, 150г;Сметана, сахар, компот из вишни, вишня с косточкой, агент желирующий - желатин, регулятор кислотности - лимонная кислота, консерванты: Низаплин, сорбат калия, ароматизатор, идентичный натуральному Вишня.;130;1.5;4.5;21;Молоко, сыр, яйца;Неизвестно
Желе Эплик с жевательными шариками и соком ананаса, 150г;Вода, сок ананасовый восстановленный, сахар-песок, молоко восстановленное, желатин, регулятор кислотности - лимонная кислота, ароматизатор пищевой натуральный ананас, консервант сорбат калия, красители натуральные: кармин, бета-каротин, Е141, сухой экстракт спирулины - фикоцианин 6%, ароматизаторы пищевые натуральные: клубника, апельсин, закваска бактериальная йогуртная.;75;1;0;18;Молоко, сыр, яйца;Неизвестно
Желе Эплик с жевательными шариками и соком клубники, 150г;Вода, сок клубничный восстановленный, сахар-песок, молоко восстановленное, желатин, регулятор кислотности - лимонная кислота, ароматизатор пищевой натуральный клубника, консервант сорбат калия, красители натуральные: кармин, бета-каротин, Е141, сухой экстракт спирулины - фикоцианин 6%, ароматизаторы пищевые натуральные: апельсин, ананас, закваска бактериальная йогуртная.;75;1;0;18;Молоко, сыр, яйца;Неизвестно
Желе Эплик с жевательными шариками и соком апельсина, 150г;Вода, сок апельсиновый восстановленный, сахар-песок, молоко восстановленное, желатин, регулятор кислотности - лимонная кислота, ароматизатор пищевой натуральный апельсин, консервант сорбат калия, красители натуральные: кармин, бета-каротин, Е141, сухой экстракт спирулины - фикоцианин 6%, ароматизаторы пищевые натуральные: клубника, ананас, закваска бактериальная йогуртная.;75;1;0;18;Молоко, сыр, яйца;Неизвестно
Желе Мирата Фруктовый микс, 150г;Вода, груша в сиропе (груша, сахар белый, вода, регулятор кислотности - лимонная кислота), персик в сиропе (персик, сахар белый, вода, регулятор кислотности - лимонная кислота), компот из вишни с косточкой (вишня, сахар белый, регулятор кислотности - лимонная кислота), сахар белый, сметана (сливки, закваска молочно-кислых микроорганизмов), желатин пищевой говяжий, консервант сорбат калия, красители: зеленый, бета-каротин.;75;0;0;15;Молоко, сыр, яйца;Неизвестно
Десерт молочный Княжеский Любимчик желе-клубника, 150г;Кремовый слой: сметана, вода, сахар-песок, фруктово-ягодный наполнитель - клубника, желатин пищевой, консервант низаплин, натамакс, регулятор кислотности - лимонная кислота, желейный слой: желе фруктовое с кусочками клубники.;146.8;2.7;4;25;Молоко, сыр, яйца;Неизвестно
